goal,title,short,colorInfo/hex,colorInfo/rgb/0,colorInfo/rgb/1,colorInfo/rgb/2
1,Pas de pauvreté,Fin de la Pobreza,#e5243b,229,36,59
2,Faim <<zéro>>,Hambre Cero,#e5b735,229,183,53
3,Bonne santé et bien-être,Salud y Bienestar,#4c9f38,76,159,56
4,Éducation de qualité,Educación de Calidad,#c5192d,197,25,45
5,Égalité entre les sexes ,Igualdad de Género,#ff3a21,255,58,33
6,Eau propre et assainissement,Agua Limpia y Saneamiento,#26bde2,38,189,226
7,Énergie propre et d'un coût abordable,Energía Asequible y No Contaminante,#fcc30b,252,195,11
8,Travail décent et croissance économique,Trabajo Decente y Crecimiento Económico,#a21942,162,25,66
9,Industrie, innovation et infrastructure,Industria, Innovación e Infraestructura,#fd6925,253,105,37
10,Inégalités réduites,Reducción de las Desigualdades,#dd1367,221,19,103
11,Villes et communautés durables,Cuidades y Comunidades Sostenibles,#fd9d24,253,157,36
12,Consommation et production responsables,Producción y Consumo Responsables,#c9992d,201,153,45
13,Mesures relatives à la lutte contre les changements climatiques,Acción por el Clima,#3f7e44,63,126,68
14,Vie aquatique,Vida Submarina,#0a97d9,10,151,217
15,Vie terrestre,Vida de Ecosistemas Terrestres,#56c02b,86,192,43
16,Paix, justice et institutions efficaces,Paz, Justicia e Instituciones Sólidas,#00689d,0,104,157
17,Partenariats pour la réalisation des Objectifs,Alianzas para Lograr los Objetivos,#19486a,25,72,106
